EMOTION,TEXT,cleaned_text
joy,Had a letter from my father (usually he does not write to me).,letter father (usual write me).
fear,Being alone in the room at night.,alon room night.
anger,Quarreling with classmates.,quarrel classmates.
sadness,My father told me in the letter that my mother is ill.,father told letter mother ill.
disgust,My roommate talking and shaking her bed at night.,roommat talk shake bed night.
shame,Finding out that I was deceived by my friend.,find deceiv friend.
guilt,A friend came to visit me and I was not there.,friend came visit there.
joy,Finding out my name on the list for English lectures.,find name list english lectures.
fear,Walking out from the biology building.,walk biolog building.
anger,"Someone told me that I was chosen for English lectures because  
the class leader is going out with me (not true).",someon told chosen english lectur class leader go (not true).
sadness,My sister bkoke her leg.,sister bkoke leg.
disgust,Some boys boasting about their ability to tell dirty jokes.,boy boast abil tell dirti jokes.
shame,Finding out China is backward in science.,find china backward science.
guilt,"When some housemen told me a young girl like you should not be  
allowed to lecture to consultants, I was too shy to argue against  
them.","housemen told young girl like allow lectur consultants, shi argu them."
joy,Made a wonderful driend who understands me.,made wonder driend understand me.
fear,Being chased in the dark by someone I did not know.,chase dark someon know.
anger,My best friend betrayed me and told other people my secrets.,best friend betray told peopl secrets.
sadness,Disappointed by a friend.,disappoint friend.
disgust,"Finding out some people had been talking about me at my back.
",find peopl talk back.
shame,Being sexually assulted in public.,sexual assult public.
guilt,I did not reply to my friend's letter in time. ,repli friend' letter time.
joy,Watching China winning the Asian Olympic games.,watch china win asian olymp games.
fear,Suddenly met someone in the biology building at night.,suddenli met someon biolog build night.
anger,Being insulted by my roommate.,insult roommate.
guilt,Not getting an airplane ticket fot my mother.,get airplan ticket fot mother.
joy,Talking with a nice girl.,talk nice girl.
fear,Talking about snakes.,talk snakes.
anger,People not resprcting my opinion.,peopl resprct opinion.
sadness,Lost my girl-friend.,lost girl-friend.
disgust,Talking to someone I disliked.,talk someon disliked.
shame,Criticized by a teacher in public.,critic teacher public.
guilt,Not being able to help my friend.,abl help friend.
joy,Getting a letter from a friend who did not write for a long time.,get letter friend write long time.
fear,Staying in a relative's house which was broken in before.,stay relative' hous broken before.
anger,Being insulted on a bus.,insult bus.
sadness,Insulted by my mother.,insult mother.
disgust,A relative not acting on her promise.,rel act promise.
shame,First time going out with a boy and other people laughed at us.,first time go boy peopl laugh us.
guilt,"A friend wanted to give me a surprise into my room and I thought  
she was stealing from the room.",friend want give surpris room thought steal room.
joy,Being asked to go out by someone I care. ,ask go someon care.
fear,Before an important examn.,import examn.
anger,"My parents do not like my friend and told me to stay away from  
him.",parent like friend told stay away him.
sadness,My friend not allowed to go to the English lectures.,friend allow go english lectures.
disgust,Postgraduate students talking about girls stupid.,postgradu student talk girl stupid.
shame,Ctiticized by teachers in public.,ctitic teacher public.
guilt,"My friend did not do well in the examn because I did not help  
him.",friend well examn help him.
joy,"I went on a picnic to the country side park.  The beautiful  
scenary made me feel relaxed and every worry disappeared , thus  
the picnic was worthwhile.","went picnic countri side park. beauti scenari made feel relax everi worri disappear , thu picnic worthwhile."
fear,"I am afraid of my academic results as I will face several  
problems.  I am scared of my limitations and the unlimited  
problems and I do not know how to cope with them.",afraid academ result face sever problems. scare limit unlimit problem know cope them.
anger,"I quarrelled with my brothers (twins) at home on saturday.  One  
of them studies in a private school and the other one is  
repeating his form five.  They do not know what they are doing.   
They follow every word of their teachers, books and systems.   
They always try to rationalize their bad acts by some game and  
they are satisfied with their awkward life.  I have tried to  
persuade them very often but have failed.  This time I had a  
fight as they have no voluntary spirit (they did not polish the  
floor).","quarrel brother (twins) home saturday. one studi privat school one repeat form five. know doing. follow everi word teachers, book systems. alway tri ration bad act game satisfi awkward life. tri persuad often failed. time fight voluntari spirit (they polish floor)."
sadness,"I have been thinking of changing my major for a few months.  My  
original major was Chinese language and it blocks my way.  I have  
to face many problems at the sametime and I do not know what is  
real and virtuous.  I do not know if I am not interested in  
Chinese or if there are other factors which make me sad.  I am  
not very clear on what I can do for the study of Communication  
and Journalism.  I am not clear about what I can do.  What are  
the limitations ?   I hesitate but I feel more adjusted now.",think chang major months. origin major chines languag block way. face mani problem sametim know real virtuous. know interest chines factor make sad. clear studi commun journalism. clear do. limit ? hesit feel adjust now.
disgust,"I had been forced to get together with strange and disgusting  
classmates.  The things they talked about disgusted me and made  
me feel ill at ease.  I knew that I would feel unhappy if I  
stayed there but I was defeated by the social norms.",forc get togeth strang disgust classmates. thing talk disgust made feel ill ease. knew would feel unhappi stay defeat social norms.
